marker,Locus,ch,interval,cumulative,marker,,,,,,
PZA03639.1,L00854,8,0,64.1,m0892,,,,,,
PZA03637.1,L00852,8,0.1,64.1,m0893,,,,,,
PHM3993.28,L00987,8,2.7,64.2,m0894,,,,,,
PZB02155.1,L00933,8,0.2,66.9,m0895,,,,,,
PZA01038.1,L00373,8,0.2,67.1,m0896,,,,,,
PHM10525.9/11,L00014c,8,0.1,67.3,m0897,,,,,,
PZA00118.1/5,L00185c,8,0.6,67.4,m0898,,,,,,
PZA03612.2/1,L00847c,8,0,68,m0899,,,,,,
PZA01049.1,L00375,8,0,68,m0900,,,,,,
PHM5468.25,L00128,8,0,68,m0901,,,,,,
PZA01787.1,L00497,8,1,68,m0902,,,,,,
PHM14152.18,L00036,8,0.7,69,m0903,,,,,,
PZA02033.1,L00550,8,0,69.7,m0904,,,,,,
PHM4203.11,L00102,8,0,69.7,m0905,,,,,,
PZA00770.1,L01047,8,0.1,69.7,m0906,,,,,,
PHM448.23,L00107,8,0,69.8,m0907,,,,,,
PZA00766.1,L00324,8,0.8,69.8,m0908,,,,,,
PZA00090.1,L00177,8,1,70.6,m0909,,,,,,
PZA02011.1,L00541,8,2.7,71.6,m0910,,,,,,
PZA00429.1,L00256,8,1.8,74.3,m0911,,,,,,
PZA03651.1,L00858,8,0,76.1,m0912,,,,,,
PZA03650.1,L00857,8,4.1,76.1,m0913,,,,,,
PHM4757.14,L00112,8,0.6,80.2,m0914,,,,,,
PZA03182.5,L00772,8,0.8,80.8,m0915,,,,,,
PZA00951.1,L01054,8,0.4,81.6,m0916,,,,,,
PHM12749.13,L00020,8,0.3,82,m0917,,,,,,
PHM15278.6,L00041,8,0.1,82.3,m0918,,,,,,
PZA03698.1,L00864,8,0.2,82.4,m0919,,,,,,
PZA01741.1,L00489,8,4.7,82.6,m0920,,,,,,
PZA00838.2,L00339,8,0.9,87.3,m0921,,,,,,
PHM3465.6,L00090,8,0.3,88.2,m0922,,,,,,
PZA00706.16,L00309,8,0,88.5,m0923,,,,,,
PHM15623.10,L00969,8,1,88.5,m0924,,,,,,
PZB00811.1,L00896,8,1.8,89.5,m0925,,,,,,
PZA00675.1,L00303,8,0.8,91.3,m0926,,,,,,
PHM1834.47,L00057,8,2,92.1,m0927,,,,,,
PZA02746.2,L00710,8,1.5,94.1,m0928,,,,,,
PZA00460.3/8,L00264c,8,0.9,95.6,m0929,,,,,,
PZA00362.1,L00233,8,1.7,96.5,m0930,,,,,,
PZA00020.5,L01008,8,0.8,98.2,m0931,,,,,,
PZA01316.1,L00424,8,1.3,99,m0932,,,,,,
PHM4786.9,L00113,8,3.4,100.3,m0933,,,,,,
PZA00904.1,L00349,8,3.2,103.7,m0934,,,,,,
PZA01964.29,L00533,8,10.6,106.9,m0935,,,,,,
PHM14046.9,L00034,8,1.5,117.5,m0936,,,,,,
PZA00189.23,L01013,8,4.2,119,m0937,,,,,,
PHM14104.23,L00965,8,1.8,123.2,m0938,,,,,,
PZA00760.1,L00323,8,2.4,125,m0939,,,,,,
PHM2749.10,L00077,8,0.5,127.4,m0940,,,,,,
PZA01290.1,L00417,8,0,127.9,m0941,,,,,,
PHM5019.59,L00998,8,0.5,127.9,m0942,,,,,,
PZA02281.3,L00608,8,1.4,128.4,m0943,,,,,,
PZA00071.2,L01009,8,----------,129.8,m0944,,,,,,
PHM3925.79,L00098,9,12.6,0,m0945,,,,,,
PZA00285.3,L01019,9,2,12.6,m0946,,,,,,
PZA01799.1/2,L00501c,9,4,14.6,m0947,,,,,,
PHM1218.6,L00017,9,0,18.6,m0948,,,,,,
sh1.12/11,L00946c,9,0.1,18.6,m0949,,,,,,
PZA01195.3,L00396,9,2,18.7,m0950,,,,,,
PZA00466.1,L00266,9,0.3,20.7,m0951,,,,,,
PZA01386.3,L01078,9,2.8,21,m0952,,,,,,
PZA02344.1,L01127,9,3,23.8,m0953,,,,,,
PHM5181.10,L00121,9,1.7,26.8,m0954,,,,,,
PZA02702.1,L00701,9,1.9,28.5,m0955,,,,,,
PZA03416.7,L00814,9,0.8,30.4,m0956,,,,,,
PHM9374.5,L00155,9,1.4,31.2,m0957,,,,,,
PZA00860.1,L00342,9,1.9,32.6,m0958,,,,,,
PZA03058.22/21,L00748c,9,4.4,34.5,m0959,,,,,,
zb7.2,L00953,9,0.5,38.9,m0960,,,,,,
PZB01042.2,L00908,9,0,39.4,m0961,,,,,,
ZHD1.1,L01190,9,0.6,39.4,m0962,,,,,,
PZB00540.3,L01178,9,0,40,m0963,,,,,,
PZA01999.3,L00540,9,0,40,m0964,,,,,,
PZB00544.2,L00888,9,0,40,m0965,,,,,,
wx1.1,L00950,9,0,40,m0966,,,,,,
PZB00547.3,L00889,9,1.8,40,m0967,,,,,,
PZB01110.6,L00911,9,1,41.8,m0968,,,,,,
PZA02648.2,L00685,9,1.7,42.8,m0969,,,,,,
PZB00959.1,L00903,9,0,44.5,m0970,,,,,,
PZA00693.3,L01044,9,0.1,44.5,m0971,,,,,,
PZA03036.6,L00741,9,0.6,44.6,m0972,,,,,,
PZA02878.13,L00725,9,0.1,45.2,m0973,,,,,,
PZA03469.1,L00820,9,0,45.3,m0974,,,,,,
PZA00589.10,L00290,9,0.1,45.3,m0975,,,,,,
PZB00014.1,L00878,9,0.5,45.4,m0976,,,,,,
PZA03057.3,L00746,9,0,45.9,m0977,,,,,,
PZA00925.2,L00354,9,0.2,45.9,m0978,,,,,,
PZA01791.2,L00499,9,0.2,46.1,m0979,,,,,,
PZB00761.1,L00893,9,0.3,46.3,m0980,,,,,,
PZA01861.1,L00506,9,0.4,46.6,m0981,,,,,,
PZA01062.1,L01064,9,0,47,m0982,,,,,,
PZA02545.1,L00667,9,0.2,47,m0983,,,,,,
PZA03596.1,L00839,9,1.9,47.2,m0984,,,,,,
PZA00947.1,L00361,9,0,49.1,m0985,,,,,,
PZA01281.2,L00414,9,0.4,49.1,m0986,,,,,,
PZB01899.1,L00927,9,2.4,49.5,m0987,,,,,,
PZA00225.8,L00207,9,1.2,51.9,m0988,,,,,,
PZA00152.1,L01011,9,0,53.1,m0989,,,,,,
PZB01358.1,L00919,9,0.9,53.1,m0990,,,,,,
PZA00015.5,L00162,9,0.7,54,m0991,,,,,,
PZA03470.1,L00821,9,2,54.7,m0992,,,,,,
PZA03235.1,L00788,9,0.6,56.7,m0993,,,,,,
PZA02613.1,L00677,9,0.4,57.3,m0994,,,,,,
PZA02325.4,L01125,9,0.4,57.7,m0995,,,,,,
PZA01819.1,L00504,9,3.9,58.1,m0996,,,,,,
PZA00840.1,L00340,9,0.2,62,m0997,,,,,,
PZA00060.2,L00169,9,0.7,62.2,m0998,,,,,,
PZA00213.19,L00200,9,0.4,62.9,m0999,,,,,,
PHM3330.25,L00087,9,1,63.3,m1000,,,,,,
PHM4905.6,L00115,9,0,64.3,m1001,,,,,,
PZA01866.1,L00507,9,0.2,64.3,m1002,,,,,,
PZA02397.1,L00633,9,0.9,64.5,m1003,,,,,,
PZA02111.1,L00563,9,0.1,65.4,m1004,,,,,,
PZA03670.1,L01173,9,0,65.5,m1005,,,,,,
PZA03671.1,L00860,9,1.5,65.5,m1006,,,,,,
PZA02235.14,L00596,9,2.4,67,m1007,,,,,,
PZA01096.1,L00383,9,4.6,69.4,m1008,,,,,,
PHM1766.1,L00972,9,0.2,74,m1009,,,,,,
PZA02252.2,L00599,9,11.4,74.2,m1010,,,,,,
PZA01369.1,L00435,9,1.7,85.6,m1011,,,,,,
PHM816.29,L00147,9,0.5,87.3,m1012,,,,,,
PHM11226.13,L00016,9,0.1,87.8,m1013,,,,,,
PZB00221.3,L00885,9,0,87.9,m1014,,,,,,
PZD00055.1,L00944,9,0.5,87.9,m1015,,,,,,
PZA02197.1,L01117,9,0.1,88.4,m1016,,,,,,
PZA00323.3,L01021,9,0.8,88.5,m1017,,,,,,
PHM4604.18,L00109,9,0.1,89.3,m1018,,,,,,
PZA01715.1/2,L00485c,9,0.4,89.4,m1019,,,,,,
PZA00511.3,L01032,9,3.7,89.8,m1020,,,,,,
PZA02381.1,L00626,9,1.3,93.5,m1021,,,,,,
PZA00912.2,L00352,9,3.4,94.8,m1022,,,,,,
PHM4303.16,L00103,9,3,98.2,m1023,,,,,,
PZA00832.1,L00337,9,0,101.2,m1024,,,,,,
PHM15445.25,L00968,9,1.8,101.2,m1025,,,,,,
PZA00708.3,L01046,9,4.5,103,m1026,,,,,,
PHM1911.173,L00973,9,0.1,107.5,m1027,,,,,,
PHM13681.12,L00031,9,7.2,107.6,m1028,,,,,,
PZA03573.1,L00833,9,----------,114.8,m1029,,,,,,
PZA02554.1,L00670,10,0.2,0,m1030,,,,,,
PZA02221.20,L00594,10,5.7,0.2,m1031,,,,,,
PZA01313.2,L00423,10,3,5.9,m1032,,,,,,
PHM3631.47,L00982,10,6.3,8.9,m1033,,,,,,
PZA02095.10,L00562,10,6.1,15.2,m1034,,,,,,
PHM2828.83,L00079,10,2.7,21.3,m1035,,,,,,
PHM3765.7,L00096,10,0.8,24,m1036,,,,,,
PZA01883.2,L00511,10,0.2,24.8,m1037,,,,,,
PZA01451.1,L01083,10,1.8,25,m1038,,,,,,
PZB01301.5,L00917,10,1.7,26.8,m1039,,,,,,
PHM15331.16,L00967,10,2.5,28.5,m1040,,,,,,
PZA00463.3,L00265,10,1.4,31,m1041,,,,,,
PZA01642.1,L01090,10,0,32.4,m1042,,,,,,
PHM3896.9,L00985,10,0.9,32.4,m1043,,,,,,
PZA02961.6,L01150,10,0.5,33.3,m1044,,,,,,
PHM3922.32,L00097,10,0.1,33.8,m1045,,,,,,
PZA00079.1,L00173,10,0,33.9,m1046,,,,,,
PZA02470.2,L00652,10,1.9,33.9,m1047,,,,,,
PZA02853.11,L00721,10,0.2,35.8,m1048,,,,,,
PZD00033.3,L01186,10,0.2,36,m1049,,,,,,
PZA03491.1,L01169,10,0.3,36.2,m1050,,,,,,
PZA01597.1,L00467,10,0,36.5,m1051,,,,,,
PZA00409.17,L00249,10,0.4,36.5,m1052,,,,,,
PZA01677.1,L00476,10,0,36.9,m1053,,,,,,
PZA02941.7,L01148,10,0,36.9,m1054,,,,,,
PZA00933.3,L01052,10,0,36.9,m1055,,,,,,
PHM2770.19,L00976,10,1.7,36.9,m1056,,,,,,
PZA01877.2,L00509,10,1.5,38.6,m1057,,,,,,
PZB00409.6,L00887,10,0.5,40.1,m1058,,,,,,
PZA00337.4,L00227,10,0.2,40.6,m1059,,,,,,
PHM12990.15,L00961,10,0.3,40.8,m1060,,,,,,
PZA00814.1,L00331,10,0.8,41.1,m1061,,,,,,
PZA01619.1,L00472,10,1,41.9,m1062,,,,,,
PZA00048.1,L00166,10,0.1,42.9,m1063,,,,,,
PZA00400.3,L00246,10,0.4,43,m1064,,,,,,
PZA02398.2,L00634,10,0,43.4,m1065,,,,,,
PHM537.22,L00125,10,0.4,43.4,m1066,,,,,,
PHM12625.18,L00018,10,0,43.8,m1067,,,,,,
PHM18195.6,L00056,10,0,43.8,m1068,,,,,,
PZA00444.1,L00260,10,0.5,43.8,m1069,,,,,,
PZA01292.1,L00418,10,0.4,44.3,m1070,,,,,,
PZA01919.2,L00520,10,0.1,44.7,m1071,,,,,,
PZA02128.3,L00568,10,1.9,44.8,m1072,,,,,,
PZA01089.1,L01065,10,0,46.7,m1073,,,,,,
PHM4341.42,L00104,10,0.4,46.7,m1074,,,,,,
PZA02219.2,L00593,10,0,47.1,m1075,,,,,,
PHM13687.14,L00032,10,0.5,47.1,m1076,,,,,,
PZA01141.1,L00390,10,0.4,47.6,m1077,,,,,,
PZA03713.1,L00866,10,0.8,48,m1078,,,,,,
PZA03196.1,L00781,10,0.2,48.8,m1079,,,,,,
PZA00866.2,L00344,10,0.2,49,m1080,,,,,,
PZA01005.1,L00367,10,3,49.2,m1081,,,,,,
PZA00647.9,L01041,10,1,52.2,m1082,,,,,,
PZA01241.2,L00405,10,2.9,53.2,m1083,,,,,,
PZA02320.1,L00614,10,2.3,56.1,m1084,,,,,,
PZB01111.8,L00912,10,3.2,58.4,m1085,,,,,,
PZA01456.2,L00446,10,1.4,61.6,m1086,,,,,,
PHM18513.156,L00058,10,1.5,63,m1087,,,,,,
PHM15868.56,L00047,10,0.3,64.5,m1088,,,,,,
PZA02663.1,L00688,10,4.4,64.8,m1089,,,,,,
PZA01995.2,L00539,10,6.2,69.2,m1090,,,,,,
PZA03603.1,L00843,10,0,75.4,m1091,,,,,,
PZA03605.1,L01170,10,0,75.4,m1092,,,,,,
PZA03604.1,L00844,10,0,75.4,m1093,,,,,,
PZA03606.1,L00845,10,0,75.4,m1094,,,,,,
PZA03607.1,L00846,10,5.4,75.4,m1095,,,,,,
PZA00130.9,L00186,10,0.5,80.8,m1096,,,,,,
PZA02969.9,L01152,10,0.3,81.3,m1097,,,,,,
PZA02049.1,L00555,10,0.5,81.6,m1098,,,,,,
PZA00007.1,L00161,10,0.1,82.1,m1099,,,,,,
PHM5435.25,L00127,10,1,82.2,m1100,,,,,,
PZA01073.1,L00381,10,2.1,83.2,m1101,,,,,,
PZA02167.2,L00578,10,5.7,85.3,m1102,,,,,,
PZA01001.2,L01062,10,0.2,91,m1103,,,,,,
PZA02578.1,L01137,10,2.5,91.2,m1104,,,,,,
PZA00062.4,L00170,10,8.2,93.7,m1105,,,,,,
PZA02527.2,L00665,10,----------,101.9,m1106,,,,,,
